,Genre
2380,pop
2381,pop
2382,rap
2383,country
2384,hip hop
2385,dance
2386,hip hop
2387,dance
2388,pop
2389,hip hop
2390,country
2391,country
2392,dance
2393,2010
2394,pop
2395,hip hop
2396,dance
2397,dance
2398,hip hop
2399,indie
2400,pop
2401,indie
2402,pop
2403,pop
2404,pop
2405,pop
2406,pop
2407,pop
2408,pop
2409,pop
2410,soul
2411,dance
2412,indie
2413,pop
2414,hip hop
2415,hip hop
2416,pop
2417,pop
2418,rap
2419,dance
2420,indie
2421,rnb
2422,dance
2423,pop
2424,pop
2425,hip hop
2426,pop
2427,dance
2428,electronic
2429,pop
2430,
2431,pop
2432,pop
2433,pop
2434,pop
2435,8 of 10 stars
2436,pop
2437,pop
2438,hip hop
2439,pop
2440,dance
2441,soul
2442,dance
2443,rap
2444,pop
2445,dance
2446,pop
2447,folk
2448,dance
2449,rock and roll
2450,jazz
2451,soul
2452,soul
2453,jazz
2454,rock and roll
2455,blues
2456,jazz
2457,pop
2458,rock and roll
2459,rock and roll
2460,rock and roll
2461,swing
2462,soul
2463,rock and roll
2464,easy listening
2465,blues
2466,rock and roll
2467,jazz
2468,country
2469,country
2470,rock and roll
2471,rock and roll
2472,rock and roll
2473,rock and roll
2474,60s
2475,jazz
2476,soul
2477,rock and roll
2478,rock and roll
2479,doo wop
2480,rock and roll
2481,jazz
2482,rock and roll
2483,doo wop
2484,jazz
2485,jazz
2486,country
2487,rock and roll
2488,harry belafonte - banana boat
2489,pop
2490,rnb
2491,doo wop
2492,rock and roll
2493,oldies
2494,rock and roll
2495,rock and roll
2496,rock and roll
2497,rock and roll
2498,
2499,rock and roll
2500,rock and roll
2501,rock and roll
2502,rock and roll
2503,jazz
2504,jazz
2505,rock and roll
2506,rock and roll
2507,rock and roll
2508,
2509,rock and roll
2510,country
2511,rock and roll
2512,soul
2513,rock and roll
2514,easy listening
2515,rock and roll
2516,rock and roll
2517,jazz
2518,swing
2519,easy listening
2520,rock and roll
2521,country
2522,jazz
2523,soul
2524,rock and roll
2525,rnb
2526,swing
2527,blues
2528,rock and roll
2529,country
2530,rock and roll
2531,motown
2532,jazz
2533,easy listening
2534,rock and roll
2535,jazz
2536,blues
2537,jazz
2538,rock and roll
2539,easy listening
2540,jazz
2541,rock and roll
2542,soul
2543,country
2544,rock and roll
2545,rock and roll
2546,pop
2547,easy listening
2548,swing
2549,rock and roll
2550,pop
2551,pop
2552,rock and roll
2553,jazz
2554,jazz
2555,jazz
2556,easy listening
2557,rock and roll
2558,pop
2559,rock and roll
2560,oldies
2561,rock and roll
2562,doo wop
2563,doo wop
2564,pop
2565,jazz
2566,oldies
2567,pop
2568,jazz
2569,rock and roll
2570,rock and roll
2571,country
2572,rock and roll
2573,swing
2574,rnb
2575,oldies
2576,soul
2577,jazz
2578,country
2579,swing
2580,swing
2581,rock and roll
2582,easy listening
2583,jazz
2584,jazz
2585,blues
2586,soul
2587,country
2588,jazz
2589,easy listening
2590,soul
2591,rnb
2592,doo wop
2593,jazz
2594,oldies
2595,soul
2596,doo wop
2597,soul
2598,doo wop
2599,soul
2600,soul
2601,rock
2602,soul
2603,rock
2604,soul
2605,rock
2606,soul
2607,rock
2608,soul
2609,pop
2610,pop
2611,rock
2612,soul
2613,soul
2614,rock
2615,pop
2616,rock
2617,rock
2618,motown
2619,rock
2620,soul
2621,rock
2622,pop
2623,motown
2624,rock
2625,folk
2626,motown
2627,soul
2628,rock
2629,soul
2630,funk
2631,soul
2632,soul
2633,soul
2634,folk
2635,rock
2636,rock
2637,soul
2638,pop
2639,pop
2640,folk
2641,
2642,soul
2643,country
2644,pop
2645,rock
2646,soul
2647,folk
2648,pop
2649,soul
2650,pop
2651,rock
2652,motown
2653,folk
2654,rock
2655,rock
2656,soul
2657,swing
2658,rock and roll
2659,folk
2660,pop
2661,rock
2662,soul
2663,rock
2664,easy listening
2665,soul
2666,rock
2667,rock
2668,soul
2669,pop
2670,soul
2671,pop
2672,soul
2673,jazz
2674,pop
2675,soul
2676,rock
2677,rock
2678,easy listening
2679,pop
2680,soul
2681,soul
2682,soul
2683,soul
2684,motown
2685,rock
2686,rock
2687,folk
2688,pop
2689,country
2690,rock
2691,
2692,rock
2693,country
2694,rock and roll
2695,rock
2696,pop
2697,jazz
2698,motown
2699,rock
2700,soul
2701,soul
2702,folk
2703,jazz
2704,rock
2705,pop
2706,motown
2707,motown
2708,soul
2709,rock
2710,rock and roll
2711,rock
2712,folk
2713,singer-songwriter
2714,folk
2715,soul
2716,motown
2717,rock
2718,soul
2719,rock and roll
2720,
2721,rock
2722,folk
2723,soul
2724,pop
2725,motown
2726,pop
2727,motown
2728,rock
2729,country
2730,folk
2731,motown
2732,rock
2733,pop
2734,folk
2735,soul
2736,rock
2737,rock
2738,rock
2739,soul
2740,rock and roll
2741,soul
2742,pop
2743,country
2744,pop
2745,rock and roll
2746,folk
2747,pop
2748,soul
2749,reggae
2750,folk
2751,soul
2752,rock
2753,rock
2754,pop
2755,disco
2756,soul
2757,rock
2758,rock
2759,country
2760,rock
2761,rock
2762,pop
2763,soul
2764,rock
2765,pop
2766,pop
2767,
2768,rock
2769,rock
2770,rock
2771,rock
2772,folk
2773,rock
2774,rock
2775,rock
2776,rock
2777,pop
2778,rock
2779,soul
2780,pop
2781,rock
2782,folk
2783,rock
2784,rock
2785,country
2786,rock
2787,pop
2788,folk
2789,folk
2790,soft rock
2791,pop
2792,rock and roll
2793,folk
2794,folk
2795,pop
2796,pop
2797,rock
2798,rock
2799,pop
2800,rock
2801,rock
2802,pop
2803,folk
2804,rock
2805,rock
2806,rock
2807,rock
2808,rock
2809,pop
2810,pop
2811,pop
2812,pop
2813,rock
2814,rock
2815,rock
2816,soul
2817,rock
2818,7 of 10 stars
2819,pop
2820,disco
2821,rock
2822,country
2823,pop
2824,pop
2825,
2826,rock
2827,disco
2828,pop
2829,funk
2830,disco
2831,rock
2832,country
2833,disco
2834,rock
2835,soft rock
2836,soul
2837,rock
2838,rock
2839,rock
2840,glam rock
2841,rock
2842,rock
2843,soul
2844,rock
2845,soul
2846,rock
2847,soul
2848,soul
2849,rock
2850,country
2851,disco
2852,rock
2853,rock
2854,rock
2855,rock
2856,pop
2857,rock
2858,rock
2859,soul
2860,country
2861,rock
2862,rock
2863,disco
2864,pop
2865,pop
2866,soft rock
2867,rock
2868,rock
2869,rock
2870,soul
2871,rock
2872,rock
2873,soul
2874,pop
2875,rock
2876,rock
2877,rock
2878,rock
2879,rock
2880,rock
2881,pop
2882,rock
2883,disco
2884,soul
2885,rock
2886,reggae
2887,rock
2888,soul
2889,disco
2890,rock
2891,pop
2892,funk
2893,pop
2894,disco
2895,reggae
2896,rock
2897,disco
2898,pop
2899,pop
2900,pop
2901,pop
2902,pop
2903,rock
2904,rock
2905,pop
2906,pop
2907,pop
2908,rock
2909,funk
2910,pop
2911,pop
2912,pop
2913,rock
2914,rock
2915,rock
2916,country
2917,pop
2918,pop
2919,rock
2920,pop
2921,rock
2922,pop
2923,pop
2924,rock
2925,rock
2926,pop
2927,pop
2928,rock
2929,rock
2930,pop
2931,pop
2932,pop
2933,pop
2934,rock
2935,pop
2936,pop
2937,pop
2938,pop
2939,rock
2940,rock
2941,rock
2942,rock
2943,pop
2944,pop
2945,pop
2946,pop
2947,rock
2948,pop
2949,pop
2950,pop
2951,rock
2952,rock
2953,pop
2954,pop
2955,pop
2956,disco
2957,rock
2958,pop
2959,rock
2960,pop
2961,pop
2962,rock
2963,pop
2964,pop
2965,rock
2966,rock
2967,pop
2968,rock
2969,pop
2970,pop
2971,pop
2972,rock
2973,rock
2974,rock
2975,pop
2976,pop
2977,rock
2978,pop
2979,rock
2980,rock
2981,electronic
2982,pop
2983,pop
2984,rock
2985,rock
2986,rock
2987,pop
2988,pop
2989,rock
2990,disco
2991,rock
2992,pop
2993,rock
2994,pop
2995,rock
2996,pop
2997,rock
2998,pop
2999,pop
3000,rock
3001,rock
3002,pop
3003,rock
3004,pop
3005,billy ocean
3006,rock
3007,pop
3008,rock
3009,rock
3010,reggae
3011,disco
3012,soul
3013,pop
3014,rock
3015,funk
3016,pop
3017,rock
3018,disco
3019,rock
3020,rock
3021,pop
3022,rock
3023,rock
3024,rock
3025,rock
3026,rock
3027,rock
3028,country
3029,rock
3030,rock
3031,rock
3032,pop
3033,pop
3034,disco
3035,pop
3036,soft rock
3037,pop
3038,rock
3039,pop
3040,rock
3041,rock
3042,rock
3043,rock
3044,pop
3045,pop
3046,pop
3047,soul
3048,pop
3049,pop
3050,pop
3051,pop
3052,rock
3053,rock
3054,pop
3055,pop
3056,rap
3057,grunge
3058,pop
3059,rock
3060,pop
3061,pop
3062,pop
3063,pop
3064,country
3065,rock
3066,country
3067,pop
3068,pop
3069,pop
3070,rock
3071,pop
3072,rock
3073,pop
3074,country
3075,pop
3076,pop
3077,pop
3078,pop
3079,pop
3080,country
3081,pop
3082,pop
3083,pop
3084,pop
3085,reggae
3086,pop
3087,pop
3088,pop
3089,pop
3090,pop
3091,rock
3092,pop
3093,pop
3094,dance
3095,pop
3096,pop
3097,rock
3098,pop
3099,pop
3100,pop
3101,pop
3102,pop
3103,pop
3104,pop
3105,pop
3106,pop
3107,pop
3108,pop
3109,pop
3110,pop
3111,pop
3112,pop
3113,indie
3114,rock
3115,rock
3116,pop
3117,pop
3118,pop
3119,pop
3120,pop
3121,pop
3122,rock
3123,soul
3124,rock
3125,pop
3126,90s
3127,pop
3128,dance
3129,rnb
3130,pop
3131,pop
3132,country
3133,rock
3134,pop
3135,pop
3136,rnb
3137,pop
3138,pop
3139,pop
3140,pop
3141,pop
3142,rock
3143,pop
3144,pop
3145,rock
3146,pop
3147,rock
3148,pop
3149,pop
3150,rock
3151,pop
3152,pop
3153,pop
3154,pop
3155,pop
3156,rock
3157,dance
3158,pop
3159,pop
3160,rock
3161,reggae
3162,soul
3163,pop
3164,pop
3165,pop
3166,rnb
3167,rock
3168,rock
3169,rnb
3170,pop
3171,rock
3172,pop
3173,rock
3174,rock
3175,pop
3176,rock
3177,pop
3178,rnb
3179,rock
3180,pop
3181,rock
3182,blues
3183,rnb
3184,rock
3185,pop
3186,rnb
3187,pop
3188,rnb
3189,rock
3190,soul
3191,rnb
3192,rock
3193,rock
3194,rock
3195,rock
3196,soul
3197,pop
3198,pop
3199,soul
3200,pop
3201,rnb
3202,pop
3203,dance
3204,rnb
3205,dance
3206,pop
3207,pop
3208,dance
3209,pop
3210,pop
3211,pop
3212,country
3213,pop
3214,pop
3215,pop
3216,pop
3217,pop
3218,pop
3219,pop
3220,pop
3221,pop
3222,pop
3223,pop
3224,pop
3225,dance
3226,pop
3227,dance
3228,pop
3229,dance
3230,pop
3231,pop
3232,pop
3233,pop
3234,pop
3235,rap
3236,pop
3237,pop
3238,pop
3239,pop
3240,pop
3241,rnb
3242,dance
3243,hip hop
3244,dance
3245,pop
3246,pop
3247,pop
3248,pop
3249,pop
3250,pop
3251,rnb
3252,pop
3253,rnb
3254,pop
3255,pop
3256,rock
3257,pop
3258,gym class heroescupid's chokehold 
3259,pop
3260,soul
3261,dance
3262,hip hop
3263,pop
3264,hip hop
3265,pop
3266,pop
3267,pop
3268,pop
3269,pop
3270,pop
3271,pop
3272,rnb
3273,pop
3274,pop
3275,rock
3276,pop
3277,hip hop
3278,rock
3279,hip hop
3280,pop
3281,rnb
3282,rnb
3283,pop
3284,pop
3285,pop
3286,pop
3287,pop
3288,reggae
3289,pop
3290,pop
3291,pop
3292,rnb
3293,pop
3294,pop
3295,rnb
3296,soul
3297,rap
3298,house
3299,pop
3300,pop
3301,pop
3302,pop
3303,rap
3304,rock
3305,pop
3306,pop
3307,indie
3308,dance
3309,pop
3310,pop
3311,electropop
3312,hip hop
3313,electronic
3314,hip hop
3315,rnb
3316,hip hop
3317,pop
3318,pop
3319,rock
3320,hip hop
3321,reggaeton
3322,rock
3323,hip hop
3324,hip hop
3325,rnb
3326,pop
3327,pop
3328,soul
3329,pop
3330,dance
3331,pop
3332,hip hop
3333,rnb
3334,rnb
3335,pop
3336,pop
3337,hip hop
3338,pop
3339,rnb
3340,rock
3341,pop
3342,rock
3343,rnb
3344,chill
3345,pop
3346,pop
3347,soul
3348,pop
