,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,key,mode,liveness,loudness,speechiness,tempo,time_signature,valence
13,El Paso,Gunfighter Ballads And Trail Songs,Marty Robbins,1959,259306,64,0.654,0.835,0.452,2.89e-05,2,1,0.16,-9.709,0.03,106.662,3,0.691
14,Alley Oop,Alley Oop / Hully Gully,The Hollywood Argyles,2008-07-23,160800,19,0.647,0.849,0.454,0.0,7,1,0.212,-9.954,0.0545,64.56,4,0.88
15,My Heart Has A Mind Of Its Own,20th Century Masters: The Millennium Collection: Best of Connie Francis,Connie Francis,1999-01-01,153933,0,0.49,0.776,0.528,0.0,6,1,0.32,-6.758,0.0373,109.439,4,0.717
16,Sweet Nothin's - Single Version,An Education OST,Brenda Lee,2009-01-01,142893,0,0.764,0.925,0.326,0.000348,2,0,0.169,-15.87,0.0778,126.772,4,0.964
17,Itsy Bitsy Teenie Weenie Yellow Polka-Dot Bikini,Greatest Hits,Brian Hyland,1994-01-01,143800,47,0.803,0.693,0.402,0.0,2,1,0.0271,-13.233,0.0817,122.142,4,0.967
18,Only the Lonely (Know the Way I Feel),The Essential Roy Orbison,Roy Orbison,2006-03-28,146200,39,0.584,0.41,0.519,0.00475,5,1,0.21,-10.767,0.0283,123.253,4,0.933
19,Where Or When,The Best Of Dion & The Belmonts,Dion & The Belmonts,2005-01-01,157800,28,0.444,0.796,0.267,0.0,8,1,0.127,-11.644,0.0282,110.661,3,0.455
20,Sixteen Reasons,"Doo Wop Oldies Intimate Dance Classics, Vol. 5",Connie Stevens,2010-11-18,118558,0,0.277,0.936,0.378,0.000169,10,1,0.101,-10.499,0.0337,68.015,4,0.627
21,Puppy Love,1960 Hits,Paul Anka,2012-05-17,160053,0,0.274,0.522,0.685,0.0,7,1,0.354,-6.095,0.0358,67.644,4,0.534
22,Why,"#1 Hits Of The '50s, '60s & '70s",Frankie Avalon,2008-01-01,155240,0,0.443,0.795,0.415,0.0,5,1,0.113,-8.543,0.0268,94.835,4,0.61
23,"Walk, Don't Run",Walk Don't Run - All-Time Greatest Hits,The Ventures,1990-01-01,126733,41,0.466,0.566,0.861,0.0595,0,1,0.22,-8.61,0.0318,154.928,4,0.955
24,Save the Last Dance for Me,Save the Last Dance for Me,The Drifters,2005-02-08,154960,60,0.54,0.614,0.53,0.0,4,1,0.198,-10.583,0.0361,143.453,4,0.896
25,Baby (You've Got What It Takes),Mad Men: A Musical Companion (1960-1965),Dinah Washington,2011-01-01,164400,0,0.686,0.856,0.524,0.000186,8,1,0.589,-9.887,0.0425,132.42,4,0.848
26,Sink the Bismark,Johnny Horton - 16 Biggest Hits,Johnny Horton,1956,194933,40,0.679,0.648,0.546,3.62e-05,3,1,0.057,-12.609,0.0729,115.234,4,0.964
27,Chain Gang,The Man Who Invented Soul,Sam Cooke,2000-09-26,160000,50,0.698,0.636,0.661,0.0,7,1,0.228,-9.674,0.0416,131.808,4,0.824
28,Let It Be Me,The Everly Brothers In Concert,The Everly Brothers,2008-01-01,230574,0,0.172,0.681,0.244,1.05e-06,5,1,0.949,-11.524,0.034,168.519,5,0.0785
29,Good Timin',Handyman,Jimmy Jones,2007-01-01,132346,0,0.604,0.701,0.519,0.0492,7,0,0.0861,-10.142,0.196,144.999,4,0.944
30,Beyond the Sea,The Ultimate Bobby Darin,Bobby Darin,2004-11-23,172480,59,0.521,0.723,0.516,0.0,2,0,0.257,-7.456,0.0369,136.483,4,0.569
31,Go Jimmy Go,The Wonderful World of the 50's - 100 Hit Songs,Jimmy Clanton,2008-07-29,122706,3,0.608,0.175,0.531,0.000495,10,1,0.127,-12.023,0.0308,147.029,4,0.948
32,Night,The Greatest Hits of the Early Years,Jackie Wilson,2011-05-09,168093,0,0.284,0.813,0.402,0.0121,3,1,0.346,-11.136,0.0306,100.875,4,0.422
33,Burning Bridges,The Wonderful World of the 50's - 100 Hit Songs,Jack Scott,2008-07-29,164440,3,0.442,0.575,0.272,0.000449,2,1,0.114,-14.314,0.0258,80.887,3,0.272
34,The Big Hurt,The Wonderful World of the 50's - 100 Hit Songs,Toni Fisher,2008-07-29,127266,6,0.544,0.761,0.509,0.0,1,1,0.485,-13.315,0.0387,125.971,4,0.635
35,Because They're Young (Rerecorded),The Wonderful World of the 60's - 100 Hit Songs,Duane Eddy,2008-05-29,116680,12,0.581,0.526,0.644,0.957,4,1,0.606,-10.684,0.0397,121.62,4,0.953
36,Lonely Blue Boy,The Very Best Of…,Conway Twitty,2007-03-13,134586,0,0.537,0.841,0.641,0.000494,5,1,0.272,-8.119,0.0388,112.74,1,0.684
37,Pretty Blue Eyes,A Mix Of Hits Vol 1,Steve Lawrence,2011-08-22,113931,0,0.466,0.512,0.39,0.0,5,1,0.354,-17.902,0.0333,126.542,4,0.861
38,Way Down Yonder in New Orleans,America's Greatest Hits 1960 Vol. 1,Freddy Cannon,2012-07-05,151853,0,0.45,0.794,0.837,1.21e-06,8,1,0.102,-5.762,0.05,142.828,4,0.911
39,In My Little Corner Of The World,The Very Best Of,Anita Bryant,2010-12-01,160080,1,0.483,0.845,0.321,1.58e-05,11,1,0.348,-12.302,0.0281,107.728,4,0.404
40,Mr. Custer - Re-Recording,#1 Hits Of The 60's,Larry Verne,2009-09-30,189000,10,0.832,0.457,0.276,6.25e-05,6,0,0.078,-13.025,0.1,107.693,4,0.0601
41,I Want To Be Wanted,Sweet Nothin's,Brenda Lee,2011-05-01,169560,0,0.526,0.866,0.141,0.0,7,1,0.643,-14.872,0.037,116.732,3,0.361
42,Mule Skinner Blues,Monster Mash,The Fendermen,2001-01-01,142000,0,0.468,0.888,0.426,6.35e-05,4,1,0.208,-9.538,0.0347,127.609,4,0.633
43,Cradle of Love,The 60's Collection Vol. 1,Johnny Preston,2011-11-16,142524,0,0.478,0.742,0.562,0.0,6,0,0.118,-8.392,0.0791,173.737,4,0.898
44,You Got What It Takes,United Artists Black Singles 1959-1967: ''Motor City To Central Park'',Marv Johnson,2009-01-23,163386,0,0.697,0.752,0.597,0.0,7,1,0.337,-13.186,0.103,136.397,4,0.959
45,Please Help Me I'm Falling,Hank Locklin Fifty Favourites,Hank Locklin,2011-05-09,140214,0,0.58,0.889,0.384,3.71e-05,7,1,0.121,-8.649,0.0312,105.76,4,0.594
46,Love You So - Re-Recording,100 Timeless Love Songs,Ron Holden,2009-10-27,187520,3,0.708,0.221,0.557,0.428,3,1,0.13,-10.98,0.0434,139.781,4,0.863
47,Finger Poppin Time,Finger Poppin Time,Hank Ballard,2008,157570,0,0.526,0.241,0.603,0.0,1,0,0.326,-8.661,0.0346,159.024,4,0.926
48,Harbor Lights,Cruisin' To The Hits Of The '50s & '60s,The Platters,2007-08-28,194546,0,0.319,0.943,0.571,0.000581,6,1,0.318,-4.294,0.033,78.755,4,0.364
49,Let The Little Girl Dance,1960 Hits,Billy Bland,2012-05-17,138720,0,0.447,0.357,0.736,0.0,5,1,0.455,-6.4,0.0664,144.115,4,0.96
50,Tossin' And Turnin' - Rerecorded,#1 Hits Of The 60's,Bobby Lewis,2009-09-30,143333,21,0.793,0.433,0.44,1.01e-06,0,1,0.0564,-11.509,0.0766,142.676,4,0.98
51,I Fall To Pieces,Introducing the Dwights,Patsy Cline,2007-07-17,169473,0,0.473,0.776,0.376,0.0,10,1,0.163,-4.723,0.0282,111.213,4,0.538
52,Michael,The Cambridge Tapes,The Highway Men,2009-04-22,182213,2,0.519,0.934,0.147,0.158,0,1,0.676,-21.863,0.048,97.072,4,0.416
53,Crying,Crying,Roy Orbison,1962,166466,0,0.35,0.758,0.293,8.21e-06,2,1,0.104,-9.502,0.0258,96.685,4,0.162
54,Runaway - Rerecorded,#1 Hits Of The 60's,Del Shannon,2009-09-30,147080,47,0.712,0.0893,0.819,2.96e-06,2,1,0.11,-6.826,0.0939,143.563,4,0.739
55,My True Story,Golden Oldies,The Jive Five,2007-03-01,154459,24,0.245,0.798,0.48,0.0,3,1,0.287,-7.447,0.033,183.01,3,0.651
56,Pony Time - Rerecorded,Chubby Checker's Greatest Hits,Chubby Checker,2010-01-29,146466,12,0.464,0.00946,0.48,0.000147,8,1,0.0898,-11.165,0.0278,77.434,4,0.948
57,Wheels,The Very Best Of The String-A-Longs,The String-A-Longs,2005-09-06,116360,4,0.787,0.689,0.623,0.0932,0,1,0.144,-8.241,0.0359,128.327,4,0.869
58,Raindrops,Golden Hits forever V5,Dee Clark,2009-02-15,173453,0,0.556,0.108,0.442,0.000671,8,1,0.302,-14.588,0.0409,121.389,4,0.79
59,Wooden Heart,Wooden Heart,Joe Dowell,2011-02-01,119866,2,0.842,0.69,0.458,0.0354,1,1,0.107,-9.762,0.0579,84.9,4,0.921
60,Calcutta,"Gold Pop Hits, Vol. 1",Lawrence Welk,2011-02-23,132750,0,0.455,0.811,0.574,0.907,7,1,0.205,-12.573,0.028,81.891,4,0.961
61,Take Good Care Of My Baby,Very Best Of,Bobby Vee,2008-01-01,160093,35,0.459,0.438,0.444,0.0,5,1,0.0867,-11.718,0.0325,80.731,4,0.712
62,Running Scared,The Soul of Rock and Roll,Roy Orbison,2008-09-30,131746,0,0.341,0.786,0.388,0.001,9,1,0.147,-10.573,0.0336,84.677,4,0.332
63,Dedicated to the One I Love - Rerecorded Version,The Shirelles - Their Very Best (Rerecorded Version),The Shirelles,2008-11-12,136733,36,0.606,0.689,0.373,0.0,10,1,0.609,-8.723,0.0362,73.749,4,0.617
64,Last Night - Single/,Stax-Volt: The Complete Singles 1959-1968,The Mar-Keys,1991,157999,23,0.764,0.439,0.321,0.828,7,1,0.0604,-13.677,0.0502,125.193,4,0.921
65,Will You Love Me Tomorrow? - Rerecorded Version,The Shirelles - Their Very Best (Rerecorded Version),The Shirelles,2008-11-12,156186,36,0.571,0.286,0.319,4.06e-05,0,1,0.634,-10.171,0.0271,138.355,4,0.575
66,"Exodus (Theme From Otto Preminger's ""Exodus"")",All-Time Great Movie Themes,Ernest Gold,1993-02-09,176760,34,0.477,0.857,0.231,0.497,2,0,0.0638,-11.842,0.0259,98.226,4,0.246
67,Where The Boys Are,20th Century Masters: The Millennium Collection: Best of Connie Francis,Connie Francis,1999-01-01,159773,0,0.413,0.782,0.435,0.0,7,1,0.342,-3.739,0.0284,109.111,3,0.36
68,Hit The Road Jack,Hit The Road Jack and Don't You Come Back,Ray Charles,2011-06-02,118200,0,0.608,0.548,0.584,0.0,8,0,0.556,-11.766,0.256,173.166,4,0.955
69,Sad Movies,Golden Oldies Vol 2,Sue Thompson,2011-02-23,193445,0,0.639,0.245,0.55,2.32e-06,7,1,0.176,-7.354,0.027,109.697,4,0.659
70,Mother In Law,Oldies But Goodies,Ernie K-Doe,2011-04-06,157973,0,0.796,0.786,0.447,2.03e-06,3,1,0.228,-12.631,0.0317,130.398,4,0.934
71,Bristol Stomp,The Best Of The Dovells 1961-1965,The Dovells,2005-10-18,138893,42,0.655,0.626,0.77,0.0,2,1,0.541,-6.338,0.0649,105.394,4,0.9
72,Travelin' Man - 2005 Digital Remaster,Greatest Hits - Ricky Nelson (Remastered Edition),Ricky Nelson,2005-12-27,141560,0,0.726,0.605,0.423,0.0,2,1,0.126,-11.36,0.0325,123.282,4,0.852
73,Shop Around,Motown: The Complete No. 1's,The Miracles,2008-01-01,169280,0,0.572,0.599,0.725,0.0,7,1,0.575,-4.196,0.0304,131.977,4,0.876
74,The Boll Weevil Song - Rerecorded,The Best of Brook Benton (Rerecorded Version),Brook Benton,2010-03-03,167640,0,0.801,0.37,0.463,0.000117,0,1,0.07,-14.313,0.0647,131.523,4,0.889
75,A Hundred Pounds Of Clay - 1995 Digital Remaster,Best Of Gene McDaniels,Gene McDaniels,1995-01-01,143600,22,0.725,0.577,0.374,0.0,0,1,0.107,-8.018,0.0386,128.569,4,0.82
76,The Mountain's High,Lost Hits Of The 60's (All Original Artists & Versions),Dick & Dee Dee,2010-01-01,135706,33,0.686,0.683,0.771,0.137,1,1,0.333,-8.764,0.0594,118.176,4,0.94
77,Don't Worry,Marty Robbins' All-Time Greatest Hits,Marty Robbins,1972,193173,31,0.514,0.918,0.256,0.00102,4,1,0.125,-13.069,0.032,98.082,4,0.477
78,On the Rebound,The Essential Floyd Cramer,Floyd Cramer,1995,127400,22,0.573,0.29,0.687,0.00385,9,1,0.122,-11.829,0.034,151.025,4,0.962
79,Portrait Of My Love,Portrait Of My Love,Steve Lawrence,2009-02-06,173489,12,0.347,0.97,0.237,0.00918,0,1,0.142,-13.438,0.0295,88.885,4,0.254
80,Quarter To Three,At The Hop,Gary U.S. Bonds,2011-02-28,157333,0,0.426,0.921,0.802,0.00227,3,1,0.774,-11.622,0.113,161.928,4,0.932
81,Who Put The Bomp?,Who Put The Bomp In The Bomp-Bomp-Bomp,Barry Mann,2011-02-01,162066,20,0.46,0.568,0.809,0.0,0,1,0.0424,-3.864,0.0489,86.556,4,0.829
82,Calendar Girl - Remastered,The Very Best Of Neil Sedaka,Neil Sedaka,2001-08-06,156533,45,0.707,0.456,0.643,0.0,1,0,0.281,-7.46,0.0303,123.476,4,0.875
83,I Like It Like That,Full Metal Jacket (Original Motion Picture Soundtrack),Chris Kenner,1987-08-04,117600,35,0.59,0.832,0.568,0.0,5,1,0.272,-11.295,0.0805,144.572,4,0.777
84,Apache,Atlantic 60th: Instrumental Jams,Jorgen Ingmann,2007-10-30,175520,35,0.644,0.894,0.492,0.922,9,0,0.117,-13.646,0.0468,129.089,4,0.248
85,"Don't Bet Money, Honey (In the Style of Linda Scott) [instrumental Backing Track]",Karaoke Hits: More Uk Hits,Original Backing Tracks,2013-05-04,153155,0,0.74,0.288,0.183,0.834,5,1,0.0959,-12.344,0.0392,100.355,3,0.608
86,Without You,Deep Into The Sixties - 20 Rare Grooves,Johnny Tillotson,2007-06-15,129120,1,0.55,0.688,0.419,0.000126,1,1,0.307,-12.716,0.0312,97.067,3,0.595
87,Wings Of A Dove - Re-Recording,60's Country - Six Days On The Road,Ferlin Husky,2009-10-26,140680,12,0.583,0.394,0.286,0.0,4,1,0.158,-15.74,0.0422,177.56,3,0.724
88,Little Sister,Elvis Is Back (Legacy Edition),Elvis Presley,1960-04-08,151360,0,0.586,0.422,0.632,0.0,11,0,0.33,-11.927,0.0812,139.527,4,0.919
89,Blue Moon - Rerecorded,#1 Hits Of The 60's,The Marcels,2009-09-30,130213,32,0.595,0.61,0.469,0.0,7,1,0.0804,-7.792,0.028,131.815,4,0.924
90,Daddys Home,Oldies But Goodies,Shep And The Limelites,2011-04-06,176200,0,0.408,0.905,0.281,5.81e-06,5,1,0.153,-10.634,0.0299,145.81,3,0.313
91,This Time,Golden Hits forever V5,Troy Shondell,2009-02-15,158933,0,0.406,0.763,0.288,0.0,7,1,0.0982,-16.261,0.0273,81.381,4,0.235
92,(I Don’t Know Why) But I Do,Golden Hits forever V6,"Clarence ""Frogman"" Henry",2009-02-14,141400,0,0.649,0.744,0.404,0.0,10,1,0.315,-11.337,0.0359,109.289,4,0.774
93,Asia Minor - Rerecorded,60's Super Hits (Rerecorded Version),Kokomo,2007-11-20,118133,18,0.459,0.665,0.534,0.825,2,0,0.18,-11.926,0.0305,202.954,4,0.931
94,Hello Walls,The Complete Capitol Hits Of Faron Young,Faron Young,2000-01-01,146840,55,0.62,0.722,0.406,6.73e-06,0,1,0.114,-10.421,0.0281,101.489,4,0.695
95,Runaround Sue - Remastered 1991,The Best Of Dion & The Belmonts,Dion,2005-01-01,159813,51,0.544,0.79,0.567,3.85e-06,11,0,0.363,-10.8,0.0753,78.227,4,0.559
96,Yellow Bird,Greatest Hits Of Arthur Lyman Taboo,Arthur Lyman,2006-12-22,164840,10,0.58,0.963,0.0771,0.919,2,1,0.125,-23.469,0.0474,119.404,4,0.624
97,Hurt,The Best Of Timi Yuro,Timi Yuro,1992-01-01,148466,53,0.493,0.707,0.244,0.000462,5,1,0.121,-11.487,0.0277,87.044,3,0.222
98,Hello Mary Lou (Goodbye Heart) - 2005 Digital Remaster,Greatest Hits - Ricky Nelson (Remastered Edition),Ricky Nelson,2005-12-27,138333,0,0.584,0.261,0.646,0.0,9,1,0.0722,-10.362,0.0299,98.968,4,0.94
99,There's A Moon Out Tonight,Golden Hits forever V5,The Capris,2009-02-15,137160,0,0.507,0.984,0.285,0.0954,6,1,0.229,-17.73,0.0362,99.451,3,0.479
100,Stranger On The Shore - Re-Recording,#1 Hits Of The 60's,Acker Bilk,2009-09-30,169120,21,0.247,0.875,0.0971,0.907,10,1,0.11,-17.207,0.0411,90.574,4,0.175
101,I Can't Stop Loving You,Six Pack - Ray Charles,Ray Charles,2009-09-01,253386,0,0.327,0.6,0.326,0.0,5,1,0.333,-10.454,0.0316,79.94,4,0.349
102,Mashed Potato Time,It's Mashed Potato Time/Do The Bird,Dee Dee Sharp,1962-01-01,150866,51,0.674,0.0705,0.473,4.79e-05,2,1,0.0593,-7.193,0.0362,125.046,4,0.847
103,Roses Are Red (My Love) - Single Version,The Best Of Bobby Vinton,Bobby Vinton,1962,158933,46,0.515,0.828,0.218,0.0,5,1,0.302,-10.071,0.0287,102.997,4,0.534
104,The Stripper,Tease: The Beat Of Burlesque,David Rose,2005-01-01,116733,30,0.471,0.702,0.458,0.552,0,1,0.326,-10.122,0.0285,94.183,4,0.528
105,Johnny Angel,Golden Hits forever V5,Shelley Fabares,2009-02-15,137466,0,0.411,0.881,0.272,0.0,0,1,0.287,-14.386,0.0331,107.366,4,0.704
106,Loco-Motion,Golden Hits forever V5,Little Eva,2009-02-15,137333,0,0.461,0.349,0.668,0.00606,3,1,0.308,-10.945,0.0617,130.013,4,0.81
107,Let Me In,Doo Wop Golden Oldies Vol 3,The Sensations,2009,189611,0,0.659,0.219,0.876,0.000481,10,1,0.189,-7.292,0.0612,130.817,4,0.956
108,The Twist - Rerecorded,#1 Hits Of The 60's,Chubby Checker,2009-09-30,158560,40,0.524,0.0188,0.712,0.00572,4,1,0.0402,-12.848,0.0314,155.034,4,0.974
109,Soldier Boy - Rerecorded Version,The Shirelles - Their Very Best (Rerecorded Version),The Shirelles,2008-11-12,161373,26,0.566,0.394,0.301,4.83e-06,10,1,0.133,-13.409,0.0284,96.431,4,0.633
110,Hey! Baby,Simply Rock'n'Roll Vol. One,Bruce Channel,2010-10-11,144640,0,0.6,0.81,0.49,0.0,9,1,0.377,-9.999,0.035,131.295,4,0.701
111,The Wanderer,The Best Of Dion & The Belmonts,Dion,2005-01-01,163626,58,0.605,0.823,0.544,0.00579,2,1,0.338,-11.37,0.0682,115.779,4,0.797
112,Duke of Earl - Re-Recorded,Hits Of The '50s (Re-Recorded),Gene Chandler,2007-07-24,152066,0,0.669,0.581,0.31,0.0,2,0,0.0947,-9.144,0.0247,99.319,4,0.865
113,Palisades Park,Boom Boom Rock 'N' Roll: The Best Of Freddy Cannon,Freddy Cannon,2008-10-21,111360,0,0.293,0.346,0.825,0.0,1,1,0.166,-6.252,0.0651,167.699,4,0.839
114,Breaking Up Is Hard to Do,Neil Sedaka Sings The Hits,Neil Sedaka,1999-10-25,136093,49,0.742,0.85,0.663,0.0,8,0,0.0936,-7.59,0.0339,116.603,4,0.967
115,Wolverton Mountain,SUPER HITS OF THE '60s,Claude King,1997-03-01,178133,19,0.626,0.864,0.348,0.0,9,1,0.232,-13.559,0.068,156.772,4,0.832
116,Slow Twistin' - Rerecorded,Chubby Checker's Greatest Hits,Chubby Checker,2010-01-29,164800,12,0.806,0.128,0.559,0.0,8,1,0.0408,-11.39,0.037,120.323,4,0.923
117,It Keeps Right On A-Hurtin' - Re-Recording,The Wonderful World of the 60's - 100 Hit Songs,Johnny Tillotson,2008-05-29,168413,12,0.397,0.899,0.23,0.0,9,1,0.233,-13.773,0.03,101.213,4,0.578
118,The One Who Really Loves You,Best Of The Early Years,Mary Wells,2011-10-01,151306,16,0.81,0.76,0.495,0.0,4,0,0.342,-10.65,0.0371,116.392,4,0.96
119,Good Luck Charm,Elvis 30 #1 Hits,Elvis Presley,2002-09-24,145400,44,0.601,0.641,0.564,0.0,11,0,0.39,-8.501,0.0404,120.848,4,0.808
120,Midnight In Moscow,Midnight In Moscow,Kenny Ball & His Jazzmen,2008-01-01,178880,25,0.45,0.588,0.329,0.271,0,0,0.124,-15.467,0.0508,173.192,4,0.753
121,Sheila (Re-Recorded),60s Classics,Tommy Roe,2007-06-26,131920,0,0.621,0.475,0.592,0.012,10,1,0.193,-8.997,0.0426,129.75,4,0.925
122,Twistin' the Night Away,The Man Who Invented Soul,Sam Cooke,2000-09-26,159893,51,0.581,0.673,0.696,0.0,9,1,0.322,-8.75,0.108,160.891,4,0.932
123,The Wah Watusi,Doo Wop Golden Oldies Vol 3,The Orlons,2009,153504,0,0.756,0.289,0.806,0.0402,4,0,0.224,-4.324,0.0579,133.1,4,0.809
124,Peppermint Twist (Re-Recorded),60s Classics,Joey Dee & The Starliters,2007-06-26,117946,0,0.654,0.442,0.874,0.0,5,1,0.174,-5.896,0.138,101.04,4,0.851
125,Break It To Me Gently,20th Century Masters: The Millennium Collection: Best of Brenda Lee,Brenda Lee,1999-01-01,157600,0,0.515,0.778,0.176,2.61e-06,3,1,0.201,-12.955,0.0279,91.771,3,0.517
126,Playboy - Single Version,23 Greatest Hits,The Marvelettes,1986-01-01,165800,1,0.874,0.653,0.477,0.0,0,1,0.0565,-11.257,0.0651,124.442,4,0.952
127,Ramblin' Rose,Ramblin Rose,Nat King Cole,1962,167853,44,0.431,0.794,0.379,0.0,9,1,0.303,-8.615,0.0267,97.061,4,0.31
128,Sealed With A Kiss,Greatest Hits,Brian Hyland,1994-01-01,159733,39,0.488,0.792,0.285,0.0,5,0,0.117,-11.613,0.0278,91.607,4,0.607
129,She Cried,Complete United Artists Singles,Jay & The Americans,2009-01-01,157453,22,0.418,0.747,0.368,0.00115,10,0,0.124,-10.726,0.0271,99.952,4,0.552
130,Don't Break The Heart That Loves You,Her Greatest Hits,Connie Francis,2011-05-09,182778,0,0.434,0.876,0.356,0.0,6,0,0.281,-9.603,0.0318,74.563,4,0.235
131,Dear Lady Twist - Rerecorded,His Very Best (Rerecorded Version),Gary U.S. Bonds,2008-12-11,141994,3,0.734,0.689,0.692,0.929,1,1,0.16,-12.692,0.285,144.654,4,0.829
132,Norman,Sue Thompson - Her Very Best,Sue Thompson,2008-06-18,136946,4,0.714,0.446,0.46,0.000144,9,1,0.3,-11.803,0.0317,127.427,4,0.964
133,Love Letters,Greatest Hits,Ketty Lester,2010-12-01,161733,8,0.553,0.781,0.22,0.0624,7,0,0.153,-17.935,0.0296,62.46,3,0.268
134,Party Lights,Party Lights,Claudine Clark,2006,143133,32,0.645,0.0661,0.6,0.0,0,1,0.101,-7.948,0.238,135.593,4,0.701
135,Cotton Fields,The Cambridge Tapes,The Highway Men,2009-04-22,175320,2,0.45,0.903,0.473,6.74e-06,9,1,0.761,-16.432,0.556,146.489,4,0.758
136,Alley Cat,25 Golden Hits from the 40's - 50's vol. 2,Bent Fabric,2011-05-04,154666,0,0.82,0.858,0.138,0.856,0,1,0.0917,-19.75,0.0441,109.897,4,0.557
137,Twist And Shout,Twist and Shout,The Isley Brothers,2009-04-27,149680,0,0.678,0.251,0.723,3.99e-06,5,1,0.179,-9.641,0.0329,124.544,4,0.909
138,Theme From Dr Kildare (Three Stars Will Shine Tonight),Rare Oldies But Goodies,Richard Chamberlain,2011-01-01,162000,0,0.251,0.865,0.195,0.0,9,1,0.256,-12.913,0.0343,84.515,5,0.189
139,Tuff,150 Rock 'N' Roll Classics,Ace Cannon,2014-08-27,155000,1,0.757,0.769,0.298,0.783,3,1,0.0734,-12.074,0.033,111.0,3,0.625
140,Lover Please,Rare Rock N' Roll Masters,Clyde McPhatter,2009-05-01,120000,0,0.682,0.692,0.691,0.000242,5,0,0.153,-11.132,0.0576,86.538,4,0.899
141,I Know (You Don't Love Me No More),The Sue Story,Barbara George,1994,144933,0,0.853,0.229,0.415,0.0103,5,1,0.0706,-10.751,0.0481,123.679,4,0.843
142,Young World - Remastered,The Best Of Rick Nelson (Vol. 2),Ricky Nelson,1991-01-01,147706,20,0.543,0.592,0.525,6.81e-05,0,1,0.156,-10.953,0.029,117.157,4,0.662
143,Baby It's You - Rerecorded Version,The Shirelles - Their Very Best (Rerecorded Version),The Shirelles,2008-11-12,150026,23,0.725,0.283,0.535,0.0,10,1,0.117,-10.289,0.0354,119.273,4,0.822
144,Speedy Gonzales,Jambalaya,Pat Boone,2008-06-23,150230,0,0.65,0.292,0.693,5.48e-05,9,1,0.142,-8.863,0.0434,148.802,4,0.873
145,A Little Bitty Tear - Single Version,A Little Bitty Tear,Burl Ives,1994-01-01,125400,24,0.58,0.896,0.209,0.243,0,1,0.116,-15.516,0.0464,72.103,4,0.831
146,Crying in the Rain,The Golden Hits of The Everly Brothers,The Everly Brothers,1962-06-01,120306,60,0.61,0.622,0.379,0.0,2,1,0.144,-9.381,0.0278,97.166,4,0.48
147,Al di la,"San Remo Hits, Vol. 8",Emilio Pericoli,2011-05-20,188186,7,0.376,0.801,0.226,0.0,11,1,0.119,-15.297,0.0346,87.853,3,0.166
148,Shout Shout (Knock Yourself Out),Shout! Shout! (Knock Yourself Out),Ernie Maresca,1962,130093,44,0.654,0.273,0.721,0.0,8,1,0.344,-8.476,0.139,94.851,4,0.967
