,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,key,mode,liveness,loudness,speechiness,tempo,time_signature,valence
0,"Theme From ""A Summer Place""",An Education OST,Percy Faith & His Orchestra,2009-01-01,142320,0,0.32,0.179,0.377,0.849,0,1,0.204,-13.229,0.03,186.138,3,0.855
1,He'll Have to Go,The Essential Jim Reeves,Jim Reeves,1997-02-14,138640,55,0.554,0.909,0.186,0.00144,1,1,0.11,-15.846,0.0379,81.181,3,0.2
2,Cathy's Clown,The Everly Brothers In Concert,The Everly Brothers,2008-01-01,157477,0,0.492,0.0489,0.83,5.47e-06,7,1,0.693,-4.679,0.0394,123.286,4,0.658
3,Running Bear,The 50's Hits Back,Johnny Preston,2007-01-01,160026,0,0.758,0.79,0.462,1.25e-05,5,0,0.17,-8.952,0.0482,120.004,4,0.726
4,Teen Angel,The Wonderful World of the 50's - 100 Hit Songs,Mark Dinning,2008-07-29,157080,20,0.583,0.869,0.168,0.0,0,1,0.148,-12.426,0.035,97.572,4,0.349
5,It's Now or Never,Elvis 75,Elvis Presley,2009,195186,0,0.632,0.531,0.437,0.000373,4,1,0.6,-11.912,0.0367,126.34,4,0.76
6,Handy Man,Handy Man - The Very Best Of,Jimmy Jones,2010-12-01,117000,2,0.499,0.552,0.579,0.0,10,1,0.272,-11.035,0.0428,148.543,4,0.853
7,Stuck on You,Lilo & Stitch,Elvis Presley,2002-01-01,144586,0,0.646,0.703,0.49,3.31e-05,7,1,0.116,-12.274,0.05,131.56,4,0.962
8,The Twist - Rerecorded,#1 Hits Of The 60's,Chubby Checker,2009-09-30,158560,40,0.524,0.0188,0.712,0.00572,4,1,0.0402,-12.848,0.0314,155.034,4,0.974
9,Everybody's Somebody's Fool,Mad Men: Betty Draper,Connie Francis,2009-10-26,158760,0,0.474,0.666,0.706,2.06e-06,1,1,0.231,-5.868,0.0329,168.165,4,0.862
10,Wild One,100 Hits Of The Swingin' 60's,Bobby Rydell,2009-10-26,136946,5,0.629,0.395,0.679,3.09e-05,7,1,0.0947,-7.908,0.0319,151.653,4,0.864
11,Greenfields,Greatest Hits,The Brothers Four,1960-07-14,183360,34,0.485,0.852,0.182,0.0,11,0,0.112,-18.083,0.0434,110.608,1,0.357
12,What In The World's Come Over You - Re-Recording,Rock 'n' Roll Love Songs,Jack Scott,2007-03-05,165986,0,0.396,0.762,0.237,0.0029,4,1,0.149,-15.723,0.0406,74.552,4,0.52
